category,analysis_group,mode,model,file,rows,strict_yes_no_n,strict_yes_no_pct,yes_no_with_explanation_n,yes_no_with_explanation_pct,refusal_or_unanswerable_n,refusal_or_unanswerable_pct,blank_image_description_n,blank_image_description_pct,verbose_or_other_n,verbose_or_other_pct,empty_n,empty_pct,extracted_yes_pct,extracted_no_pct,extracted_unclear_pct
junctions,ji_v1,Mode A,moondream,junctions_moondream_ji_v1_fixed.csv,2602,0,0.0,2120,81.48,11,0.42,0,0.0,471,18.1,0,0.0,60.88,29.75,9.38
junctions,ji_v1_noimage,Mode C,moondream,junctions_moondream_noimage_ji_v1.csv,2602,140,5.38,1427,54.84,0,0.0,840,32.28,195,7.49,0,0.0,41.08,56.8,2.11
junctions,ji_linguistic,Mode A,moondream,junctions_moondream_ji_ling.csv,6966,0,0.0,5218,74.91,19,0.27,0,0.0,1729,24.82,0,0.0,65.45,20.33,14.23
junctions,ji_linguistic_noimage,Mode C,moondream,junctions_moondream_noimage_ji_ling.csv,6966,0,0.0,3933,56.46,140,2.01,1987,28.52,906,13.01,0,0.0,44.46,44.83,10.71
junctions,ji_v1,Mode A,paligemma,junctions_paligemma_ji_v1_fixed.csv,2602,2508,96.39,0,0.0,48,1.84,0,0.0,46,1.77,0,0.0,47.31,49.08,3.61
junctions,ji_v1_noimage,Mode C,paligemma,junctions_paligemma_noimage_ji_v1.csv,2602,1300,49.96,0,0.0,1302,50.04,0,0.0,0,0.0,0,0.0,4.46,45.5,50.04
junctions,ji_linguistic,Mode A,paligemma,junctions_paligemma_ji_ling.csv,6966,6391,91.75,0,0.0,231,3.32,0,0.0,344,4.94,0,0.0,47.32,44.43,8.25
junctions,ji_linguistic_noimage,Mode C,paligemma,junctions_paligemma_noimage_ji_ling.csv,6966,2438,35.0,0,0.0,4528,65.0,0,0.0,0,0.0,0,0.0,2.01,32.99,65.0
junctions,ji_v1,Mode A,smolvlm,junctions_smolvlm_ji_v1_fixed.csv,2602,2598,99.85,0,0.0,0,0.0,0,0.0,4,0.15,0,0.0,45.66,54.19,0.15
junctions,ji_v1_noimage,Mode C,smolvlm,junctions_smolvlm_noimage_ji_v1.csv,2602,2602,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,17.45,82.55,0.0
junctions,ji_linguistic,Mode A,smolvlm,junctions_smolvlm_ji_ling.csv,6966,6921,99.35,0,0.0,0,0.0,0,0.0,45,0.65,0,0.0,44.8,54.55,0.65
